"ayurvedic spa treatments, architecture tours, wildlife viewing","Wilpattu National Park, Udawalawe National Park, Sigiriya, Bentota, Hikkaduwa"
"village homestays, horse shows, traditional ceremonies","Sri Dalada Maligawa, Nallur Kandaswamy Kovil, Kandy, Ella, Nuwara Eliya"
"wildlife viewing, camping, surfing","Tangalle, Udawalawe National Park, Mirissa Beach, Weligama Beach (surf and stay), Yala National Park"
"historic sites, museum visits, waterfalls","Anuradhapura, Ramboda Falls, Bakers Falls, Bomburu Ella Waterfall, Polonnaruwa Ancient City"
"art classes, elephant rides, historical monuments","Anuradhapura, Galle, Polonnaruwa, Colombo, Pinnawala"
"art classes, traditional ceremonies, city tours","Galle, Sri Dalada Maligawa, Colombo, Colombo City Tour, Kandy City Centre"
"theater, cycling, temple pilgrimages","Nelung Arts Centre, Sri Pada / Adams Peak, Dambulla Royal Cave Temple and Golden Temple, Ella, Mihintale"
"butterfly watching, amusement parks, architecture photography","Dambulla Royal Cave Temple and Golden Temple, Sinharaja Forest Reserve, Horton Plains National Park, Sigiriya, Excel World"
"beachfront dining, botanical gardens, butterfly watching","Dry Zone Botanic Gardens, Hambantota, Sinharaja Forest Reserve, Unawatuna, Knuckles, Galle"
"cycling, traditional ceremonies, kayaking","Sri Dalada Maligawa, Kalpitiya Lagoon, Bentota River, Colombo Port City, Kitulgala"
"beach visits, rock climbing, waterfalls","Passikuda Beach, Bentota Beach, Bakers Falls, Marakolliya Beach, Bopath Falls"
"arts and culture, temple pilgrimages, snorkeling","Mihintale, Pigeon Island, Hikkaduwa Beach, Unawatuna Beach, Dambulla Royal Cave Temple and Golden Temple"
"cultural experiences, temple pilgrimages, sailing","Sri Pada / Adams Peak, Kandy Temple, Anuradhapura, Negombo Lagoon, Arankelle Forest Monastery"
"ayurvedic spa treatments, historic sites, literary tours","Anuradhapura, Jaffna Public Library, Bentota, Galle Dutch Fort, Polonnaruwa Ancient City"
"hot air ballooning, animal encounters, archaeological sites","Udawalawe National Park, Sigiriya, Kanneliya National Rain Forest Reserve, Elephant Transit Home, Polonaruwa"
"animal encounters, spiritual retreats, amusement parks","Leisure World, Elephant Transit Home, Ruhunu Maha Kataragama Dewalaya, Sri Pada / Adams Peak, Colombo Port City"
"sailing lessons, whale watching, beach visits","Marakolliya Beach, Mirissa Beach, Passikuda Beach, Negombo, Tangalle Beach"
"temple pilgrimages, local crafts, historic walks","Mihintale, Galle Fort, Anuradapura, Kandy Lake, Dambulla Royal Cave Temple and Golden Temple"
"arts and culture, city tours, scuba diving","Negombo, Gangaramaya Temple, Colombo City Tour, Nelung Arts Centre, Pigeon Island"
"wildlife viewing, traditional ceremonies, yoga retreats","Sri Dalada Maligawa, Wilpattu National Park, Kanneliya National Rain Forest Reserve, Udawalawe National Park, Nallur Kandaswamy Kovil"
"butterfly watching, camping, wildlife viewing","Udawalawe National Park, Minneriya National Park, Wasgamuwa National Park, Kitugala Forest, Kanneliya National Rain Forest Reserve"
"whale watching, safaris, cultural festivals","Kandy, Minneriya National Park, Trincomalee, Mirissa Beach, Yala National Park"
"architecture tours, archaeological sites, snorkeling","Polonaruwa, Nilaveli Beach, Galle Dutch Fort, Pigeon Island, Anuradhapura"
"museum visits, paddleboarding, arts and culture","National Gallery of Art, Unawatuna Beach, Bentota River, Maritime Museum, Colombo National Museum"
"museum visits, snorkeling, ayurvedic spa treatments","National Museum Galle, Dutch Museum, Bentota, Hikkaduwa, Pigeon Island"
"hot springs, horseback riding, hot air ballooning","Maha Oya Hot Water Springs, Mahapelessa Hot Springs, Kandalama, Haputale, Nuwara Eliya"
"arts and culture, zip-lining, beach visits","Ella, Jaffna Public Library, Tangalle Beach, Arugam Bay Beach, Gangaramaya Temple"
"surfing, cycling, rock climbing","Yapahuwa Rock Fortress, Hatton, Weligama Beach (surf and stay), Knuckles, Ella"
"botanical gardens, mountain biking, horse shows","Seethawaka Wet Zone Botanical Gardens, Hatton, Kandy, Knuckles, Royal Botanical Gardens, Peradeniya"
"sailing, botanical gardens, museum visits","Seethawaka Wet Zone Botanical Gardens, Trincomalee Harbour, Ratnapura Gem Museum, Colombo National Museum, National Museum Galle"
"hot air ballooning, paddleboarding, outdoor adventures","Bentota River, Negambo, Kandalama, Pigeon Island, Kitulgala"
"planetarium visits, hot springs, golfing","Maha Oya Hot Water Springs, Royal Colombo Golf Club, Nuwara Eliya Golf Club, Madunagala Hot Water Spring, Sri Lanka Planetarium"
"horseback riding, cultural experiences, botanical gardens","Nuwara Eliya, Royal Botanical Gardens, Peradeniya, Kandy Temple, Dambulla, Hakgala Botanical Garden"
"kayaking, waterfalls, surfing","Kalpitiya Lagoon, Dunhinda Waterfall, Mirissa Beach, Hikkaduwa Beach, Unawatuna Lagoon"
"themed parks, caving, sailing","Batatotalena (Batadombalena) Cave, Negombo Lagoon, Jungle Beach, Mahalenama Cave, Colombo Port City"
"hot air ballooning, scuba diving, hot springs","Madunagala Hot Water Spring, Mahapelessa Hot Springs, Maha Oya Hot Water Springs, Kandalama, Dambulla"
"golfing, archaeological sites, zip-lining","Polonaruwa, Sigiriya, Kithulgala, Ella, Victoria Golf Club"
"hot springs, village homestays, history tours","Madunagala Hot Water Spring, Maha Oya Hot Water Springs, Haputale, Polonnaruwa Ancient City, Sigiriya"
"sailing lessons, whale watching, sailing","Trincomalee Harbour, Hikkaduwa, Colombo Port City, Mirissa Beach, Trincomalee"
"horse shows, hot air ballooning, water parks","Water World Lanka, Leisure World, Dambulla, Kandy, Pearl Bay"
"photography, yoga retreats, snorkeling","Yala National Park, Sinharaja Forest Reserve, Ella, Nine Arches Bridge, Galle"
"historical monuments, caving, animal encounters","Anuradhapura, Mahalenama Cave, Ritigala, Pinnawala Elephant Orphanage, Elephant Transit Home"
"rock climbing, zip-lining, arts and culture","Knuckles, Yapahuwa Rock Fortress, Museum of Modern and Contemporary Art, Nelung Arts Centre, Surathali Ella"
"traditional ceremonies, horse shows, hot air ballooning","Kandy, Dambulla, Nuwara Eliya, Sri Dalada Maligawa, Kandalama"
"public art installations, photography, hot springs","Yala National Park, Mahapelessa Hot Springs, Horton Plains National Park, Sigiriya, Maha Oya Hot Water Springs"
"archaeological sites, temple pilgrimages, hot springs","Dambulla Royal Cave Temple and Golden Temple, Madunagala Hot Water Spring, Maha Oya Hot Water Springs, Mihintale, Sigiriya"
"spiritual retreats, photography, historic sites","Anuradhapura, Seetha Eliya, Trincomalee, Sigiriya, Sinharaja Forest Reserve"
"surfing, cultural festivals, spiritual retreats","Sri Dalada Maligawa, Trincomalee, Hikkaduwa Beach, Seetha Eliya, Dambulla Royal Cave Temple and Golden Temple"
"theater, turtle watching, arts and culture","Hikkaduwa, Nelung Arts Centre, National Gallery of Art, Museum of Modern and Contemporary Art, Nelum Pokuna Theatre"
"traditional ceremonies, butterfly watching, sailing","Sri Dalada Maligawa, Negombo Lagoon, Knuckles, Horton Plains National Park, Nallur Kandaswamy Kovil"
"snorkeling, fishing, whale watching","Mirissa Beach, Pigeon Island, Weligama Beach, Trincomalee, Hikkaduwa"
"traditional ceremonies, caving, city tours","Belilena Caves, Galle City Tour, Sri Dalada Maligawa, Nallur Kandaswamy Kovil, Colombo City Tour"
"kayaking, camping, paddleboarding","Negambo, Bolgoda Lake, Meemure, Unawatuna Beach, Kitulgala"
"photography, craft workshops, spiritual retreats","Ambalangoda Mask Workshop, Batadombalena Craft Centre, Seetha Eliya, Sinharaja Forest Reserve, Yala National Park"
"animal encounters, surfing, camping","Yala National Park, Weligama Beach (surf and stay), Elephant Transit Home, Belihuloya, Mirissa Beach"
"fishing, amusement parks, horse shows","Hikkaduwa, Colombo Port City, Weligama Beach, Kalpitiya, Perl Bay"
"historic sites, architecture tours, hot springs","Galle Dutch Fort, Maha Oya Hot Water Springs, Madunagala Hot Water Spring, Sigiriya, Polonnaruwa Ancient City"
"ayurvedic spa treatments, botanical gardens, mountain biking","Bentota, Seethawaka Wet Zone Botanical Gardens, Hikkaduwa, Hakgala Botanical Garden, Royal Botanical Gardens, Peradeniya"
"architecture tours, kayaking, cultural experiences","Unawatuna Lagoon, Ahungalla, Madu River, Dambulla Royal Cave Temple and Golden Temple, Sri Dalada Maligawa"
"cultural experiences, ayurvedic spa treatments, sightseeing","Horton Plains, Dambulla Royal Cave Temple and Golden Temple, Anuradhapura, Hikkaduwa, Sri Dalada Maligawa"
"paddleboarding, butterfly watching, water parks","Water World Lanka, Unawatuna Beach, Negambo, Knuckles, Horton Plains National Park"
"cultural festivals, temple pilgrimages, architecture photography","Kandy, Nallur Kandaswamy Devasthanam, Velgam Vehera Buddhist Temple, Ambuluwawa Tower, Sri Pada / Adams Peak"
"water parks, camping, architecture photography","Pearl Bay, Velgam Vehera Buddhist Temple, Kitugala Forest, Ambuluwawa Tower, Yala National Park"
"tea tasting, photography, zip-lining","Nuwara Eliya, Yala National Park, Ella, Sinharaja Forest Reserve, Horton Plains National Park"
"traditional ceremonies, archaeological sites, zip-lining","Ella, Kithulgala, Sri Dalada Maligawa, Polonaruwa, Anuradhapura"
"spiritual retreats, mountain biking, paddleboarding","Dambulla Royal Cave Temple and Golden Temple, Ruhunu Maha Kataragama Dewalaya, Sri Pada / Adams Peak, Unawatuna Beach, Sri Dalada Maligawa"
"bird watching, public art installations, historic sites","Bundala National Park, Anawilundawa Wetlands, Anuradhapura, Mihintale, Kumana National Park"
"hot air ballooning, hiking, sea cruises","Negombo Lagoon, Sri Pada / Adams Peak, Ella Rock, Mirissa Beach, Kandalama"
"art classes, archaeological sites, horse shows","Kandy, Galle, Nuwara Eliya, Anuradhapura, Polonaruwa"
"cultural festivals, outdoor adventures, local crafts","Ambalangoda, Riverstone Gap, Hikkaduwa Coral Sanctuary, Kandy, Nallur Kandaswamy Devasthanam"
"beachfront dining, cycling, horseback riding","Dambulla, Unawatuna, Haputale, Galle, Mirissa Beach"
"craft workshops, cultural festivals, traditional ceremonies","Nallur Kandaswamy Kovil, Batadombalena Craft Centre, Sri Dalada Maligawa, Ambalangoda Mask Workshop, Bentota"
"literary tours, history tours, sailing","Trincomalee Harbour, Colombo Port City, Galle Dutch Fort, Sigiriya, Jaffna Public Library"
"whale watching, cultural festivals, architecture photography","Velgam Vehera Buddhist Temple, Hikkaduwa, Trincomalee, Mirissa Beach, Dambulla Royal Cave Temple and Golden Temple"
"photography, theater, caving","Horton Plains National Park, Nelum Pokuna Theatre, Nelung Arts Centre, Sigiriya, Sinharaja Forest Reserve"
"local crafts, arts and culture, whale watching","Museum of Modern and Contemporary Art, Ambalangoda, Mirissa Beach, Gangaramaya Temple, National Gallery of Art"
"sailing lessons, horse shows, wildlife viewing","Trincomalee, Yala National Park, Nuwara Eliya, Udawalawe National Park, Kandy"
"horseback riding, water parks, photography","Haputale, Water World Lanka, Sigiriya, Horton Plains National Park, Sinharaja Forest Reserve"
"traditional ceremonies, amusement parks, architecture photography","Galle Fort, Ambuluwawa Tower, Leisure World, Colombo Port City, Perl Bay"
"camping, boat safaris, zip-lining","Yala National Park, Horton Plains, Ella, Kithulgala, Meemure"
"planetarium visits, paddleboarding, cultural experiences","Unawatuna Beach, Anuradhapura, Dambulla Royal Cave Temple and Golden Temple, Mihintale, Bentota River"
"outdoor adventures, theater, traditional ceremonies","Pigeon Island, Nallur Kandaswamy Kovil, Nelung Arts Centre, Riverstone Gap, Hikkaduwa Coral Sanctuary"
"river cruises, art classes, animal encounters","Galle, Kanneliya National Rain Forest Reserve, Colombo, Udawalawe National Park, Bentota River"
"mountain biking, boat safaris, planetarium visits","Sri Lanka Planetarium, Bentota River, Hatton, Madu River, Knuckles"
"water parks, waterfalls, kayaking","Bambarakiri Ella, Ahungalla, Pearl Bay, Leisure World, Bakers Falls"
"historic sites, water parks, sailing","Galle Dutch Fort, Sigiriya, Pearl Bay, Anuradhapura, Water World Lanka"
"rock climbing, historic walks, temple pilgrimages","Jaya Sri Maha Bodhi, Ella Rock, Polonaruwa, Surathali Ella, Sri Pada / Adams Peak"
"historic walks, beachfront dining, traditional ceremonies","Sri Dalada Maligawa, Kandy Lake, Anuradapura, Galle, Nallur Kandaswamy Kovil"
"architecture tours, horseback riding, sailing lessons","Trincomalee, Sigiriya, Galle Dutch Fort, Haputale, Negombo"
"traditional ceremonies, historical monuments, bird watching","Bundala National Park, Nallur Kandaswamy Kovil, Sinharaja Forest Reserve, Horton Plains National Park, Kumana National Park"
"golfing, city tours, river cruises","Victoria Golf Club, Royal Colombo Golf Club, Galle City Tour, Kandy City Centre, Colombo City Tour"
"historic walks, animal encounters, river cruises","Pinnawala Elephant Orphanage, Udawalawe National Park, Bentota River, Anuradapura, Galle Fort"
"river cruises, history tours, botanical gardens","Polonnaruwa Ancient City, Sigiriya, Hakgala Botanical Garden, Madu River, Galle Dutch Fort"
"surfing, horse shows, camping","Kitugala Forest, Ahangama, Tangalle, Hikkaduwa Beach, Nuwara Eliya"
"fishing, whale watching, paddleboarding","Negambo, Unawatuna Beach, Mirissa Beach, Trincomalee, Bentota River"
"historical monuments, photography, sea cruises","Nine Arches Bridge, Horton Plains National Park, Anuradhapura, Sinharaja Forest Reserve, Ella"
"history tours, caving, wildlife viewing","Kanneliya National Rain Forest Reserve, Udawalawe National Park, Mahalenama Cave, Sigiriya, Yala National Park"
"cycling, craft workshops, sailing","Bentota, Batadombalena Craft Centre, Ambalangoda Mask Workshop, Hatton, Trincomalee Harbour"
"history tours, tea tasting, paddleboarding","Sigiriya, Unawatuna Beach, Bentota River, Polonnaruwa Ancient City, Kandy"
"traditional ceremonies, wildlife viewing, historic sites","Minneriya National Park, Udawalawe National Park, Wilpattu National Park, Yala National Park, Sigiriya"
"whale watching, themed parks, snorkeling","Hikkaduwa, Nilaveli Beach, Hikkaduwa Beach, Mirissa Beach, Viharamahadevi Park"
"hot air ballooning, sea cruises, sailing lessons","Negombo Lagoon, Trincomalee, Trincomalee Harbour, Colombo Port City, Mirissa Beach"
"snorkeling, ayurvedic spa treatments, botanical gardens","Mirissa Beach, Nilaveli Beach, Hikkaduwa Beach, Bentota, Hakgala Botanical Garden"
"sightseeing, river cruises, museum visits","Kandy National Museum, Colombo National Museum, Pidurangala Rock, Galle Lighthouse, Dutch Museum"
"sailing lessons, public art installations, spiritual retreats","Negombo, Seetha Eliya, Sri Pada / Adams Peak, Dambulla Royal Cave Temple and Golden Temple, Colombo"
"paddleboarding, whale watching, cycling","Trincomalee, Hikkaduwa, Bentota River, Ella, Mirissa Beach"
"village homestays, wildlife viewing, rock climbing","Ella Rock, Ella, Haputale, Yala National Park, Kanneliya National Rain Forest Reserve"
"museum visits, amusement parks, water parks","National Museum Galle, Folk Museum, Ratnapura Gem Museum, Excel World, Water World Lanka"
"cultural festivals, sightseeing, history tours","Polonnaruwa Ancient City, Ella, Galle Dutch Fort, Pidurangala Rock, Sigiriya"
"historic sites, themed parks, safaris","Galle Dutch Fort, Polonnaruwa Ancient City, Sigiriya, Kumana National Park, Mihintale"
"safaris, cycling, elephant rides","Yala National Park, Udawalawe, Minneriya National Park, Ella, Pinnawala"
"beachfront dining, elephant rides, cycling","Mirissa Beach, Hatton, Udawalawe, Galle, Unawatuna"
"landscape photography, traditional ceremonies, literary tours","Sri Dalada Maligawa, Martin Wickramasinghe Folk Museum, Sigiriya, Jaffna Public Library, Nallur Kandaswamy Kovil"
"sightseeing, scuba diving, butterfly watching","Kalpitiya, Horton Plains National Park, Hikkaduwa Coral Sanctuary, Ella, Knuckles"
"river cruises, architecture tours, water parks","Water World Lanka, Madu River, Leisure World, Bentota River, Pearl Bay"
"local crafts, wildlife viewing, golfing","Kandy, Ambalangoda, Kanneliya National Rain Forest Reserve, Wasgamuwa National Park, Nuwara Eliya Golf Club"
"public art installations, sailing lessons, hot springs","Kandy, Trincomalee, Madunagala Hot Water Spring, Negombo, Maha Oya Hot Water Springs"
"planetarium visits, theater, literary tours","Sri Lanka Planetarium, Jaffna Public Library, Nelum Pokuna Theatre, Martin Wickramasinghe Folk Museum, Nelung Arts Centre"
"public art installations, paddleboarding, planetarium visits","Negambo, Colombo, Bentota River, Trincomalee, Sri Lanka Planetarium"
"kayaking, scuba diving, sea cruises","Colombo Port City, Hikkaduwa Coral Sanctuary, Trincomalee Harbour, Unawatuna Lagoon, Kalpitiya"
"horseback riding, amusement parks, sailing","Haputale, Leisure World, Colombo Port City, Nuwara Eliya, Trincomalee Harbour"
"golfing, sea cruises, animal encounters","Yala National Park, Colombo Port City, Udawalawe National Park, Elephant Transit Home, Nuwara Eliya Golf Club"
"botanical gardens, cultural festivals, waterfalls","Bopath Falls,  Laxapana Falls, Nallur Kandaswamy Devasthanam, Dry Zone Botanic Gardens, Hambantota, Dunhinda Waterfall"
"amusement parks, kayaking, scuba diving","Hikkaduwa Coral Sanctuary, Madu River, Ahungalla, Trincomalee, Excel World"
"waterfalls, surfing, arts and culture","Ravan Ella Waterfall, Weligama Beach (surf and stay), Mirissa Beach, St Clairs Falls, Tangalle"
"city tours, caving, tea tasting","Kandy, Mahalenama Cave, Galle City Tour, Batatotalena (Batadombalena) Cave, Wavulpone Cave"
"mountain biking, hot air ballooning, beach visits","Marakolliya Beach, Dambulla, Kandalama, Tangalle Beach, Nilaveli Beach"
"caving, history tours, yoga retreats","Galle, Batatotalena (Batadombalena) Cave, Sigiriya, Belilena Caves, Galle Dutch Fort"
"bird watching, landscape photography, water parks","Horton Plains National Park, Kumana National Park, Leisure World, Water World Lanka, Horton Plains"
"fishing, tea tasting, safaris","Kalpitiya, Negombo Lagoon, Wilpattu National Park, Hikkaduwa, Weligama Beach"
"animal encounters, theater, horseback riding","Nuwara Eliya, Lionel Wendt Art Centre, Yala National Park, Elephant Transit Home, Haputale"
"horse shows, hiking, snorkeling","Ella Rock, Pigeon Island, Hikkaduwa Beach, Sri Pada / Adams Peak, Nuwara Eliya"
"themed parks, art classes, caving","Mahalenama Cave, Viharamahadevi Park, Colombo, Jungle Beach, Wavulpone Cave"
"sea cruises, photography, mountain biking","Yala National Park, Horton Plains National Park, Negombo Lagoon, Nine Arches Bridge, Trincomalee Harbour"
"butterfly watching, architecture tours, historic walks","Sinharaja Forest Reserve, Horton Plains National Park, Polonaruwa, Knuckles, Sigiriya"
"beach visits, landscape photography, architecture tours","Koggala Beach, Passikuda Beach, Galle Dutch Fort, Mirissa Beach, Horton Plains"
"river cruises, cultural festivals, historic sites","Anuradhapura, Galle Dutch Fort, Kandy, Nallur Kandaswamy Devasthanam, Sigiriya"
"village homestays, turtle watching, local crafts","Rekawa Beach, Kosgoda Turtle Hatchery, Ambalangoda, Pigeon Island, Kandy"
"photography, boat safaris, local crafts","Ambalangoda, Bentota River, Sinharaja Forest Reserve, Madu River, Nine Arches Bridge"
"river cruises, traditional ceremonies, waterfalls","Bentota River, Bopath Falls, Ravan Ella Waterfall, Devon Falls, Bambarakanda Falls"
"art classes, hiking, butterfly watching","Sinharaja Forest Reserve, Knuckles, Ella Rock, Kanneliya National Rain Forest Reserve, Colombo"
"village homestays, archaeological sites, zip-lining","Haputale, Polonaruwa, Anuradhapura, Sigiriya, Ella"
"beach visits, sea cruises, amusement parks","Excel World, Passikuda Beach, Colombo Port City, Perl Bay, Koggala Beach"
"amusement parks, cultural experiences, themed parks","Excel World, Leisure World, Arankelle Forest Monastery, Mihintale, Dambulla Royal Cave Temple and Golden Temple"
"planetarium visits, sailing, architecture tours","Trincomalee Harbour, Sigiriya, Negombo Lagoon, Sri Lanka Planetarium, Colombo Port City"
"golfing, ayurvedic spa treatments, hot air ballooning","Royal Colombo Golf Club, Hikkaduwa, Kandalama, Bentota, Victoria Golf Club"
"photography, yoga retreats, tea tasting","Horton Plains National Park, Hiriketiya, Nine Arches Bridge, Sinharaja Forest Reserve, Kandy"
"sailing lessons, public art installations, rock climbing","Surathali Ella, Yapahuwa Rock Fortress, Kandy, Trincomalee, Colombo"
"animal encounters, wildlife viewing, bird watching","Wilpattu National Park, Sinharaja Forest Reserve, Bundala National Park, Wasgamuwa National Park, Udawalawe National Park"
"river cruises, sightseeing, spiritual retreats","Sri Pada / Adams Peak, Seetha Eliya, Ruhunu Maha Kataragama Dewalaya, Galle Lighthouse, Horton Plains"
"wildlife viewing, hot air ballooning, city tours","Galle City Tour, Wasgamuwa National Park, Yala National Park, Kandalama, Wilpattu National Park"
"historical monuments, hot springs, wildlife viewing","Polonnaruwa, Wilpattu National Park, Yala National Park, Mahapelessa Hot Springs, Wasgamuwa National Park"
"sightseeing, botanical gardens, cycling","Horton Plains, Galle Lighthouse, Hakgala Botanical Garden, Ella, Seethawaka Wet Zone Botanical Gardens"
"village homestays, paddleboarding, turtle watching","Unawatuna Beach, Negambo, Haputale, Trincomalee, Hikkaduwa"
"sailing, historic walks, yoga retreats","Negombo Lagoon, Trincomalee Harbour, Anuradapura, Polonaruwa, Galle"
"surfing, water parks, yoga retreats","Pearl Bay, Water World Lanka, Ahangama, Leisure World, Arugam Bay Beach"
"water parks, zip-lining, local crafts","Pearl Bay, Water World Lanka, Kithulgala, Leisure World, Kandy"
"camping, art classes, mountain biking","Belihuloya, Galle, Knuckles, Colombo, Vaddha Village Camping"
"botanical gardens, waterfalls, ayurvedic spa treatments","Bambarakanda Falls, Ravan Ella Waterfall, Diyaluma Falls, Bomburu Ella Waterfall, Dry Zone Botanic Gardens, Hambantota"
"amusement parks, cycling, caving","Ritigala, Wavulpone Cave, Perl Bay, Mahalenama Cave, Colombo Port City"
"cultural festivals, amusement parks, scuba diving","Kandy, Nallur Kandaswamy Devasthanam, Negombo, Colombo Port City, Kalpitiya"
"caving, ayurvedic spa treatments, historical monuments","Wavulpone Cave, Hikkaduwa, Ritigala, Polonnaruwa, Batatotalena (Batadombalena) Cave"
"archaeological sites, whale watching, kayaking","Kitulgala, Polonaruwa, Sigiriya, Madu River, Bentota River"
"tea tasting, cultural festivals, art classes","Nallur Kandaswamy Devasthanam, Colombo, Nuwara Eliya, Kandy, Galle"
"mountain biking, history tours, historical monuments","Anuradhapura, Polonnaruwa Ancient City, Polonnaruwa, Knuckles, Hatton"
"botanical gardens, architecture tours, outdoor adventures","Riverstone Gap, Royal Botanical Gardens, Peradeniya, Hikkaduwa Coral Sanctuary, Hakgala Botanical Garden, Dry Zone Botanic Gardens, Hambantota"
"zip-lining, archaeological sites, history tours","Polonnaruwa Ancient City, Anuradhapura, Galle Dutch Fort, Polonaruwa, Sigiriya"
"amusement parks, cultural festivals, river cruises","Colombo Port City, Kandy, Perl Bay, Madu River, Leisure World"
"kayaking, historical monuments, golfing","Anuradhapura, Kitulgala, Royal Colombo Golf Club, Bentota River, Unawatuna Lagoon"
"ayurvedic spa treatments, arts and culture, cultural festivals","Nallur Kandaswamy Devasthanam, Bentota, Kandy, Jaffna Public Library, Hikkaduwa"
"mountain biking, sea cruises, cultural festivals","Nallur Kandaswamy Devasthanam, Hatton, Negombo Lagoon, Trincomalee Harbour, Kandy"
"planetarium visits, whale watching, local crafts","Trincomalee, Sri Lanka Planetarium, Hikkaduwa, Kandy, Mirissa Beach"
"mountain biking, theater, hot springs","Madunagala Hot Water Spring, Maha Oya Hot Water Springs, Kanniya Hot Springs, Mahapelessa Hot Springs, Knuckles"
"historical monuments, waterfalls, hot springs"," Laxapana Falls, Madunagala Hot Water Spring, Diyaluma Falls, Anuradhapura, Maha Oya Hot Water Springs"
"landscape photography, hot air ballooning, craft workshops","Dambulla, Ambalangoda Mask Workshop, Bentota, Batadombalena Craft Centre, Sigiriya"
"safaris, art classes, caving","Galle, Kumana National Park, Colombo, Ritigala, Yala National Park"
"botanical gardens, safaris, golfing","Hakgala Botanical Garden, Royal Colombo Golf Club, Seethawaka Wet Zone Botanical Gardens, Nuwara Eliya Golf Club, Wilpattu National Park"
"spiritual retreats, camping, literary tours","Belihuloya, Dambulla Royal Cave Temple and Golden Temple, Knuckles, Seetha Eliya, Horton Plains"
"turtle watching, local crafts, cultural festivals","Kandy, Ambalangoda, Pigeon Island, Kosgoda Turtle Hatchery, Rekawa Beach"
"photography, tea tasting, sailing","Sinharaja Forest Reserve, Nuwara Eliya, Kandy, Nine Arches Bridge, Colombo Port City"
"zip-lining, boat safaris, traditional ceremonies","Ella, Kithulgala, Sri Dalada Maligawa, Nallur Kandaswamy Kovil, Bentota River"
"village homestays, historic sites, hot springs","Polonnaruwa Ancient City, Sigiriya, Madunagala Hot Water Spring, Maha Oya Hot Water Springs, Ella"
"bird watching, history tours, village homestays","Anawilundawa Wetlands, Ella, Kumana National Park, Sinharaja Forest Reserve, Bundala National Park"
"archaeological sites, sailing lessons, elephant rides","Sigiriya, Anuradhapura, Trincomalee, Udawalawe, Pinnawala"
"botanical gardens, hot springs, fishing","Mahapelessa Hot Springs, Hikkaduwa, Kalpitiya, Hakgala Botanical Garden, Dry Zone Botanic Gardens, Hambantota"
"hot air ballooning, archaeological sites, scuba diving","Negombo, Hikkaduwa Coral Sanctuary, Dambulla, Anuradhapura, Pigeon Island"
"cultural festivals, snorkeling, cycling","Kandy, Hikkaduwa Beach, Hatton, Ella, Mirissa Beach"
"river cruises, wildlife viewing, sailing lessons","Madu River, Wasgamuwa National Park, Bentota River, Minneriya National Park, Negombo"
"turtle watching, outdoor adventures, animal encounters","Yala National Park, Rekawa Beach, Elephant Transit Home, Kosgoda Turtle Hatchery, Pigeon Island"
"paddleboarding, fishing, surfing","Tangalle, Hikkaduwa, Mirissa Beach, Kalpitiya, Unawatuna Beach"
"fishing, waterfalls, themed parks","Ravan Ella Waterfall, Bambarakanda Falls, Devon Falls,  Laxapana Falls, Diyaluma Falls"
